Residue_Linear1 Episode 298, Reward: -250.40558956012927, Steps: 129
Residue_Linear1 Episode 299, Reward: -97.115930455434, Steps: 114
Residue_Linear1 Episode 300, Reward: -321.60764892912687, Steps: 222
Residue_Linear1 Episode 301, Reward: -271.1503905586155, Steps: 145
Residue_Linear1 Episode 302, Reward: -374.17066794258784, Steps: 223
Residue_Linear1 Episode 303, Reward: -362.70757508280445, Steps: 191
Residue_Linear1 Episode 304, Reward: -247.7573401645636, Steps: 110
Residue_Linear1 Episode 305, Reward: -390.44515726398254, Steps: 201
Residue_Linear1 Episode 306, Reward: -226.987137175069, Steps: 90
Residue_Linear1 Episode 307, Reward: -111.18673353571498, Steps: 131
Residue_Linear1 Episode 308, Reward: -132.02017205405087, Steps: 86
Residue_Linear1 Episode 309, Reward: -317.48900278628093, Steps: 267
Residue_Linear1 Episode 310, Reward: -226.58051486742963, Steps: 165
Residue_Linear1 Episode 311, Reward: -157.60512098737712, Steps: 78
Residue_Linear1 Episode 312, Reward: -62.523709825517244, Steps: 88
Residue_Linear1 Episode 313, Reward: -290.7547880199259, Steps: 106
Residue_Linear1 Episode 314, Reward: -157.45162239312708, Steps: 82
Residue_Linear1 Episode 315, Reward: -237.847279744794, Steps: 134
Residue_Linear1 Episode 316, Reward: -169.93111335311147, Steps: 118
Residue_Linear1 Episode 317, Reward: -181.18610631722507, Steps: 242
Residue_Linear1 Episode 318, Reward: -191.74153056562088, Steps: 178
Residue_Linear1 Episode 319, Reward: -170.1960749916131, Steps: 78
Residue_Linear1 Episode 320, Reward: -257.7648179778022, Steps: 167
Residue_Linear1 Episode 321, Reward: -249.23583324328942, Steps: 156
Residue_Linear1 Episode 322, Reward: -207.01560378821628, Steps: 118
Residue_Linear1 Episode 323, Reward: -294.6474360284443, Steps: 198
Residue_Linear1 Episode 324, Reward: -45.386435781585476, Steps: 136
Residue_Linear1 Episode 325, Reward: 20.998318718677936, Steps: 71
Residue_Linear1 Episode 326, Reward: -231.0852929463457, Steps: 117
Residue_Linear1 Episode 327, Reward: -236.4950592994494, Steps: 129
Residue_Linear1 Episode 328, Reward: -97.3008526876807, Steps: 114
Residue_Linear1 Episode 329, Reward: -382.63346019979474, Steps: 304
Residue_Linear1 Episode 330, Reward: -222.3581454321103, Steps: 91
Residue_Linear1 Episode 331, Reward: -177.11232013140065, Steps: 94
Residue_Linear1 Episode 332, Reward: -332.10588818861106, Steps: 275
Residue_Linear1 Episode 333, Reward: -274.8614143615784, Steps: 103
Residue_Linear1 Episode 334, Reward: -249.42556048172696, Steps: 215
Residue_Linear1 Episode 335, Reward: -208.98947482122594, Steps: 187
Residue_Linear1 Episode 336, Reward: -157.29944389457825, Steps: 129
Residue_Linear1 Episode 337, Reward: -158.03408643574255, Steps: 188
Residue_Linear1 Episode 338, Reward: -223.45368236701245, Steps: 203
Residue_Linear1 Episode 339, Reward: -126.8349500393597, Steps: 69
Residue_Linear1 Episode 340, Reward: -241.21057809345362, Steps: 91
Residue_Linear1 Episode 341, Reward: -185.79561937489805, Steps: 149
Residue_Linear1 Episode 342, Reward: 154.04244468575803, Steps: 262
Residue_Linear1 Episode 343, Reward: -158.9447412800285, Steps: 240
Residue_Linear1 Episode 344, Reward: -107.45137367542046, Steps: 203
Residue_Linear1 Episode 345, Reward: -162.53036487917336, Steps: 70
Residue_Linear1 Episode 346, Reward: -182.0346043284668, Steps: 91
Residue_Linear1 Episode 347, Reward: -317.37434548207654, Steps: 242
Residue_Linear1 Episode 348, Reward: -161.58701385363693, Steps: 88
Residue_Linear1 Episode 349, Reward: -164.92206877143173, Steps: 71
Residue_Linear1 Episode 350, Reward: -199.5213063627604, Steps: 109
Residue_Linear1 Episode 351, Reward: -234.46873056210717, Steps: 95
Residue_Linear1 Episode 352, Reward: -277.87762043077686, Steps: 113
Residue_Linear1 Episode 353, Reward: -319.1147267004789, Steps: 118
